"","START","END","Season","Stream","SIM"
"1","CRO1","CRO1","Spring","CRO",1
"2","CRO1","CRO2","Spring","CRO",0.966101694915254
"3","CRO1","CRO3","Spring","CRO",1
"4","CRO1","CRO4","Spring","CRO",0.966101694915254
"5","CRO1","CRO5","Spring","CRO",0.966101694915254
"6","CRO1","CRO6","Spring","CRO",0.966101694915254
"7","CRO1","CRO7","Spring","CRO",0.966101694915254
"8","CRO2","CRO1","Spring","CRO",0.966101694915254
"9","CRO2","CRO2","Spring","CRO",1
"10","CRO2","CRO3","Spring","CRO",0.966101694915254
"11","CRO2","CRO4","Spring","CRO",1
"12","CRO2","CRO5","Spring","CRO",1
"13","CRO2","CRO6","Spring","CRO",1
"14","CRO2","CRO7","Spring","CRO",1
"15","CRO3","CRO2","Spring","CRO",0.966101694915254
"16","CRO3","CRO3","Spring","CRO",1
"17","CRO3","CRO4","Spring","CRO",0.966101694915254
"18","CRO3","CRO5","Spring","CRO",0.966101694915254
"19","CRO3","CRO6","Spring","CRO",0.966101694915254
"20","CRO3","CRO7","Spring","CRO",0.966101694915254
"21","CRO4","CRO3","Spring","CRO",0.966101694915254
"22","CRO4","CRO4","Spring","CRO",1
"23","CRO4","CRO5","Spring","CRO",1
"24","CRO4","CRO6","Spring","CRO",1
"25","CRO4","CRO7","Spring","CRO",1
"26","CRO5","CRO4","Spring","CRO",1
"27","CRO5","CRO5","Spring","CRO",1
"28","CRO5","CRO6","Spring","CRO",1
"29","CRO5","CRO7","Spring","CRO",1
"30","CRO6","CRO5","Spring","CRO",1
"31","CRO6","CRO6","Spring","CRO",1
"32","CRO6","CRO7","Spring","CRO",1
"33","CRO7","CRO6","Spring","CRO",1
"34","CRO7","CRO7","Spring","CRO",1
"35","EAS1","EAS1","Spring","EAS",1
"36","EAS1","EAS2","Spring","EAS",1
"37","EAS1","EAS3","Spring","EAS",0.966101694915254
"38","EAS1","EAS4","Spring","EAS",0.966101694915254
"39","EAS1","EAS5","Spring","EAS",0.966101694915254
"40","EAS1","EAS6","Spring","EAS",0.966101694915254
"41","EAS1","EAS7","Spring","EAS",0.966101694915254
"42","EAS1","EAS8","Spring","EAS",0.966101694915254
"43","EAS1","EAS9","Spring","EAS",0.966101694915254
"44","EAS2","EAS1","Spring","EAS",1
"45","EAS2","EAS2","Spring","EAS",1
"46","EAS2","EAS3","Spring","EAS",0.966101694915254
"47","EAS2","EAS4","Spring","EAS",0.966101694915254
"48","EAS2","EAS5","Spring","EAS",0.966101694915254
"49","EAS2","EAS6","Spring","EAS",0.966101694915254
"50","EAS2","EAS7","Spring","EAS",0.966101694915254
"51","EAS2","EAS8","Spring","EAS",0.966101694915254
"52","EAS2","EAS9","Spring","EAS",0.966101694915254
"53","EAS3","EAS2","Spring","EAS",0.966101694915254
"54","EAS3","EAS3","Spring","EAS",1
"55","EAS3","EAS4","Spring","EAS",1
"56","EAS3","EAS5","Spring","EAS",1
"57","EAS3","EAS6","Spring","EAS",1
"58","EAS3","EAS7","Spring","EAS",1
"59","EAS3","EAS8","Spring","EAS",1
"60","EAS3","EAS9","Spring","EAS",1
"61","EAS4","EAS3","Spring","EAS",1
"62","EAS4","EAS4","Spring","EAS",1
"63","EAS4","EAS5","Spring","EAS",1
"64","EAS4","EAS6","Spring","EAS",1
"65","EAS4","EAS7","Spring","EAS",1
"66","EAS4","EAS8","Spring","EAS",1
"67","EAS4","EAS9","Spring","EAS",1
"68","EAS5","EAS4","Spring","EAS",1
"69","EAS5","EAS5","Spring","EAS",1
"70","EAS5","EAS6","Spring","EAS",1
"71","EAS5","EAS7","Spring","EAS",1
"72","EAS5","EAS8","Spring","EAS",1
"73","EAS5","EAS9","Spring","EAS",1
"74","EAS6","EAS5","Spring","EAS",1
"75","EAS6","EAS6","Spring","EAS",1
"76","EAS6","EAS7","Spring","EAS",1
"77","EAS6","EAS8","Spring","EAS",1
"78","EAS6","EAS9","Spring","EAS",1
"79","EAS7","EAS6","Spring","EAS",1
"80","EAS7","EAS7","Spring","EAS",1
"81","EAS7","EAS8","Spring","EAS",1
"82","EAS7","EAS9","Spring","EAS",1
"83","EAS8","EAS7","Spring","EAS",1
